2	491	439554934	J.K. Rowling, Mary GrandPré	1997.0	Harry Potter and the Philosopher's Stone
3	226	316015849	Stephenie Meyer	2005.0	Twilight
4	487	61120081	Harper Lee	1960.0	To Kill a Mockingbird
5	1356	743273567	F. Scott Fitzgerald	1925.0	The Great Gatsby
6	226	525478817	John Green	2012.0	The Fault in Our Stars
7	969	618260307	J.R.R. Tolkien	1937.0	The Hobbit or There and Back Again
8	360	316769177	J.D. Salinger	1951.0	The Catcher in the Rye
9	311	1416524797	Dan Brown	2000.0	Angels & Demons 
10	3455	679783261	Jane Austen	1813.0	Pride and Prejudice
11	283	1594480001	Khaled Hosseini	2003.0	The Kite Runner 
12	210	62024035	Veronica Roth	2011.0	Divergent
13	995	451524934	George Orwell, Erich Fromm, Celâl Üster	1949.0	Nineteen Eighty-Four
14	896	452284244	George Orwell	1945.0	Animal Farm: A Fairy Story
15	710	553296981	Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday	1947.0	Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944
16	274	307269752	Stieg Larsson, Reg Keeland	2005.0	Män som hatar kvinnor
17	201	439023491	Suzanne Collins	2009.0	Catching Fire
18	376	043965548X	J.K. Rowling, Mary GrandPré, Rufus Beck	1999.0	Harry Potter and the Prisoner of Azkaban
19	566	618346252	J.R.R. Tolkien	1954.0	 The Fellowship of the Ring
20	239	439023513	Suzanne Collins	2010.0	Mockingjay
21	307	439358078	J.K. Rowling, Mary GrandPré	2003.0	Harry Potter and the Order of the Phoenix
22	183	316166685	Alice Sebold	2002.0	The Lovely Bones
23	398	439064864	J.K. Rowling, Mary GrandPré	1998.0	Harry Potter and the Chamber of Secrets
24	332	439139600	J.K. Rowling, Mary GrandPré	2000.0	Harry Potter and the Goblet of Fire
25	263	545010225	J.K. Rowling, Mary GrandPré	2007.0	Harry Potter and the Deathly Hallows
26	350	307277674	Dan Brown	2003.0	The Da Vinci Code
27	275	439785960	J.K. Rowling, Mary GrandPré	2005.0	Harry Potter and the Half-Blood Prince
28	458	140283331	William Golding	1954.0	Lord of the Flies 
29	1937	743477111	William Shakespeare, Robert           Jackson	1595.0	An Excellent conceited Tragedie of Romeo and Juliet
30	196	297859382	Gillian Flynn	2012.0	Gone Girl
31	183	399155341	Kathryn Stockett	2009.0	The Help
32	373	142000671	John Steinbeck	1937.0	Of Mice and Men 
33	220	739326228	Arthur Golden	1997.0	Memoirs of a Geisha
34	169	1612130291	E.L. James	2011.0	Fifty Shades of Grey
35	458	61122416	Paulo Coelho, Alan R. Clarke	1988.0	O Alquimista
36	192	385732554	Lois Lowry	1993.0	The Giver
37	474	60764899	C.S. Lewis	1950.0	The Lion, the Witch and the Wardrobe
38	167	965818675	Audrey Niffenegger	2003.0	The Time Traveler's Wife
39	101	553588486	George R.R. Martin	1996.0	A Game of Thrones
40	185	143038419	Elizabeth Gilbert	2006.0	Eat, pray, love: one woman's search for everything across Italy, India and Indonesia
41	159	786838655	Rick Riordan	2005.0	The Lightning Thief
42	1707	451529308	Louisa May Alcott	1868.0	Little Women
43	2568	142437204	Charlotte Brontë, Michael Mason	1847.0	Jane Eyre
44	190	553816713	Nicholas Sparks	1996.0	The Notebook
45	264	770430074	Yann Martel	2001.0	Life of Pi
46	128	1565125606	Sara Gruen	2006.0	Water for Elephants
47	251	375831002	Markus Zusak	2005.0	The Book Thief
48	507	307347974	Ray Bradbury	1953.0	Fahrenheit 451
49	194	316160199	Stephenie Meyer	2006.0	New Moon (Twilight, #2)
50	45	60513039	Shel Silverstein	1974.0	Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein
51	178	1416914285	Cassandra Clare	2007.0	City of Bones
52	185	316160202	Stephenie Meyer	2007.0	Eclipse
53	217	375826696	Christopher Paolini	2002.0	Eragon
54	257	345391802	Douglas Adams	1979.0	The Hitchhiker's Guide to the Galaxy
55	515	60929871	Aldous Huxley	1932.0	Brave New World
56	183	031606792X	Stephenie Meyer	2008.0	Breaking Dawn
57	125	142001740	Sue Monk Kidd	2001.0	The Secret Life of Bees
58	2277	142437174	Mark Twain, John Seelye, Guy Cardwell	1884.0	The Adventures of Huckleberry Finn
59	180	64410935	E.B. White, Garth Williams, Rosemary Wells	1952.0	Charlotte's Web
60	183	1400032717	Mark Haddon	2003.0	The Curious Incident of the Dog in the Night-Time
61	14	1594633665	Paula Hawkins	2015.0	The Girl on the Train
62	287	679879242	Philip Pullman	1995.0	Northern Lights
63	2498	393978893	Emily Brontë, Richard J. Dunn	1847.0	Wuthering Heights
64	125	743454537	Jodi Picoult	2004.0	My Sister's Keeper
65	241	385333846	Kurt Vonnegut Jr.	1969.0	Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death 
66	409	446675539	Margaret Mitchell	1936.0	Gone with the Wind
67	197	1594489505	Khaled Hosseini	2007.0	A Thousand Splendid Suns
68	128	671027344	Stephen Chbosky	1999.0	The Perks of Being a Wallflower
69	164	7442912	Veronica Roth	2012.0	Insurgent
70	224	812550706	Orson Scott Card	1985.0	Ender's Game
71	2618	141439475	Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle	1818.0	"Frankenstein; or, The Modern Prometheus"
72	289	450040186	Stephen King	1977.0	The Shining
73	161	316068047	Stephenie Meyer	2008.0	The Host
74	187	142402516	John Green	2005.0	Looking for Alaska
76	1969	141439661	Jane Austen, Tony Tanner, Ros Ballaster	1811.0	Sense and Sensibility
77	138	439244196	Louis Sachar, Louis Sachar	1998.0	Holes
78	129	307275558	Lauren Weisberger	2003.0	The Devil Wears Prada
80	1708	156012197	Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta	1946.0	Le Petit Prince
81	92	074324754X	Jeannette Walls	2005.0	The Glass Castle
82	108	385486804	Jon Krakauer	1996.0	Into the Wild
83	525	141439602	Charles Dickens, Richard Maxwell, Hablot Knight Browne	1859.0	A Tale of Two Cities
84	176	030734813X	Michael Crichton	1990.0	Jurassic Park
85	81	60256656	Shel Silverstein	1964.0	The Giving Tree
86	158	385338600	John Grisham	1989.0	A Time to Kill
87	109	374500010	Elie Wiesel, Marion Wiesel	1958.0	Un di Velt Hot Geshvign
88	178	014241493X	John Green	2008.0	Paper Towns
89	129	345418263	William Goldman	1973.0	The Princess Bride
90	156	014038572X	S.E. Hinton	1967.0	The Outsiders
91	147	385737947	James Dashner	2009.0	The Maze Runner
92	124	61234001	Steven D. Levitt, Stephen J. Dubner	2005.0	Freakonomics: A Rogue Economist Explores the Hidden Side of Everything
93	1350	517189607	Frances Hodgson Burnett	1911.0	The Secret Garden
94	555	60531045	Gabriel García Márquez, Gregory Rabassa	1967.0	Cien anos de soledad
95	2303	375751513	Oscar Wilde, Jeffrey Eugenides	1891.0	The Picture of Dorian Gray
96	133	345803507	E.L. James	2012.0	Fifty Shades Freed
97	2207	393970124	Bram Stoker, Nina Auerbach, David J. Skal	1897.0	Dracula
98	209	307269981	Stieg Larsson, Reg Keeland	2006.0	Flickan som lekte med elden
99	147	1612130585	E.L. James	2011.0	Fifty Shades Darker
100	39	60786507	Barbara Kingsolver	1998.0	The Poisonwood Bible
101	59	349113912	David Sedaris	2000.0	Me Talk Pretty One Day
102	110	99408392	Maurice Sendak	1963.0	Where the Wild Things Are
103	1310	140449264	Alexandre Dumas, Robin Buss	1844.0	Le Comte de Monte-Cristo
104	181	307265439	Cormac McCarthy	2006.0	The Road
105	153	7524277	Veronica Roth	2013.0	Allegiant
107	131	446693804	Nicholas Sparks	1999.0	A Walk to Remember
108	144	440241413	Sophie Kinsella	2000.0	Confessions of a Shopaholic
109	1319	451525264	Victor Hugo, Lee Fahnestock, Norman MacAfee	1862.0	Les Misérables
110	202	553381695	George R.R. Martin	1998.0	A Clash of Kings
111	98	143037145	Kim Edwards	2005.0	The Memory Keeper's Daughter
112	168	670026603	Jojo Moyes	2012.0	Me Before You
113	251	684833395	Joseph Heller	1961.0	Catch-22
114	172	751529818	Mitch Albom, Saulius Dagys	1997.0	Tuesdays with Morrie
115	125	312422156	Jeffrey Eugenides	2002.0	Middlesex
116	2448	143039563	Mark Twain, Guy Cardwell, John Seelye	1876.0	The Adventures of Tom Sawyer
117	165	440498058	Madeleine L'Engle	1962.0	A Wrinkle in Time
118	126	143038095	Amy Tan	1989.0	The Joy Luck Club
119	236	038549081X	Margaret Atwood	1985.0	The Handmaid's Tale
120	93	385729332	Ann Brashares	2001.0	The Sisterhood of the Traveling Pants
122	80	60987103	Gregory Maguire, Douglas Smith	1995.0	Wicked: The Life and Times of the Wicked Witch of the West
123	11	582418275	John Grisham	1991.0	The Firm
124	151	316098337	Emma Donoghue	2010.0	Room
125	1929	521618746	William Shakespeare, Richard Andrews, Rex Gibson	1600.0	The Tragicall Historie of Hamlet, Prince of Denmark
126	241	340839937	Frank Herbert	1965.0	Dune
127	100	316346624	Malcolm Gladwell	2000.0	The Tipping Point: How Little Things Can Make a Big Difference
128	190	1451648537	Walter Isaacson	2011.0	Steve Jobs
129	275	451163966	Ken Kesey	1962.0	One Flew Over the Cuckoo's Nest
130	666	684830493	Ernest Hemingway	1952.0	The Old Man and the Sea
131	381	142000663	John Steinbeck	1939.0	The Grapes of Wrath
132	123	1401308589	Mitch Albom	2003.0	The Five People You Meet in Heaven
133	1314	451528824	L.M. Montgomery	1908.0	Anne of Green Gables
134	122	1416914307	Cassandra Clare	2009.0	City of Glass
135	175	055357342X	George R.R. Martin	2000.0	A Storm of Swords
136	75	006075995X	Rebecca Wells	1996.0	Divine Secrets of the Ya-Ya Sisterhood
137	189	440242940	Diana Gabaldon	1991.0	Outlander
138	1579	142437263	Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym	1850.0	The Scarlet Letter
139	155	1594744769	Ransom Riggs	2011.0	Miss Peregrine’s Home for Peculiar Children
140	193	030726999X	Stieg Larsson, Reg Keeland	2007.0	Luftslottet som sprängdes
141	148	804139024	Andy Weir	2012.0	The Martian
142	255	451207149	Ken Follett	1989.0	The Pillars of the Earth
144	16	1400064163	Laura Hillenbrand	2010.0	Unbroken: A World War II Story of Survival, Resilience, and Redemption
145	180	671027387	Dan Brown	2001.0	Deception Point
146	108	316055433	Donna Tartt	2013.0	The Goldfinch
147	150	1595141715	Jay Asher	2007.0	Thirteen Reasons Why
148	169	452287022	Tracy Chevalier	1999.0	Girl with a Pearl Earring
149	130	525421033	Gayle Forman	2009.0	If I Stay
150	80	312353766	Anita Diamant	1997.0	The Red Tent
151	121	786856866	Rick Riordan	2006.0	The Sea of Monsters
152	111	446528056	Nicholas Sparks	2006.0	Dear John
153	125	1416914293	Cassandra Clare	2008.0	City of Ashes
154	1732	743477103	William Shakespeare	1606.0	The Tragedy of Macbeth
155	453	618346260	J.R.R. Tolkien	1954.0	The Two Towers
156	65	031232118X	Emily Giffin	2004.0	Something Borrowed
157	72	394800168	Dr. Seuss, ??? ????	1960.0	Green Eggs and Ham
158	338	142403881	Roald Dahl, Quentin Blake	1964.0	Charlie and the Chocolate Factory
159	92	1423101464	Rick Riordan	2008.0	The Battle of the Labyrinth
160	1725	192833596	Charles Dickens	1860.0	Great Expectations
161	470	345339738	J.R.R. Tolkien	1955.0	The Return of the King
163	72	142311339X	Rick Riordan	2010.0	The Lost Hero
164	103	1250012570	Rainbow Rowell	2013.0	Eleanor & Park
165	176	055358202X	George R.R. Martin	2005.0	A Feast for Crows
166	84	525423648	Ally Condie	2010.0	Matched
167	196	747263744	Neil Gaiman	2001.0	American Gods
168	195	385199570	Stephen King, Bernie Wrightson	1978.0	The Stand
169	95	446547565	Nicholas Sparks	2008.0	The Last Song
170	185	552151696	Dan Brown	1998.0	Digital Fortress
171	1710	141439580	Jane Austen, Fiona Stafford	1815.0	Emma
173	283	393312836	Anthony Burgess	1962.0	A Clockwork Orange
174	134	964729237	William Paul Young	2007.0	The Shack: Where Tragedy Confronts Eternity
175	87	739380338	Rick Riordan	2009.0	The Last Olympian
176	7	451169514	Stephen King	1986.0	It
178	246	61148512	Sylvia Plath	1963.0	The Bell Jar
179	184	7205236	Frank McCourt	1996.0	Angela's Ashes: A Memoir
180	972	553208845	Hermann Hesse, Hilda Rosner	1922.0	Siddhartha
181	223	679745580	Truman Capote	1965.0	In Cold Blood
182	119	316042676	Kami Garcia, Margaret Stohl	2009.0	Beautiful Creatures
183	103	1416975861	Cassandra Clare	2010.0	Clockwork Angel
184	242	141301066	Roald Dahl, Quentin Blake	1988.0	Matilda
185	119	385534639	Erin Morgenstern	2011.0	The Night Circus
186	111	743227441	Philippa Gregory	2001.0	The Other Boleyn Girl
187	98	689865384	Scott Westerfeld	2005.0	Uglies
189	380	618640150	J.R.R. Tolkien	1955.0	The Lord of the Rings
190	101	307592731	Cheryl Strayed	2012.0	Wild: From Lost to Found on the Pacific Crest Trail 
191	90	930289234	Alan Moore, Dave Gibbons, John Higgins	1987.0	Watchmen
192	123	075640407X	Patrick Rothfuss	2007.0	The Name of the Wind
193	120	316017922	Malcolm Gladwell	2008.0	Outliers: The Story of Success
194	1823	142437247	Herman Melville, Andrew Delbanco, Tom Quirk	1851.0	"Moby Dick; or, The Whale"
195	116	385340990	Mary Ann Shaffer, Annie Barrows	2008.0	The Guernsey Literary and Potato Peel Pie Society
196	162	393327345	Chuck Palahniuk	1996.0	Fight Club
197	109	441008534	Charlaine Harris	2001.0	Dead Until Dark
198	155	671727796	Alice Walker	1982.0	The Color Purple
199	119	739461192	John Grogan	2005.0	Marley & Me: Life and Love with the World's Worst Dog
200	474	312330871	Agatha Christie	1939.0	Ten Little Niggers
201	208	385504225	Dan Brown	2009.0	The Lost Symbol
202	91	1416989412	Becca Fitzpatrick	2009.0	Hush, Hush
204	2380	1561797464	Charles Dickens	1843.0	A Christmas Carol
205	189	345476875	Anne Rice	1976.0	Interview with the Vampire
206	93	62059939	Kiera Cass	2012.0	The Selection
207	109	312362080	Janet Evanovich	1994.0	One for the Money
208	66	1400052173	Rebecca Skloot	2010.0	The Immortal Life of Henrietta Lacks
209	187	99446782	Thomas Harris	1988.0	The Silence of the Lambs
211	116	316010669	Malcolm Gladwell	2005.0	Blink: The Power of Thinking Without Thinking
212	155	038572179X	Ian McEwan	2001.0	Atonement
213	1316	553213695	Franz Kafka, Stanley Corngold	1915.0	Die Verwandlung
214	94	141382899	Rick Riordan	2007.0	The Titan's Curse
216	90	1554681723	Garth Stein	2006.0	The Art of Racing in the Rain
217	70	739303406	Erik Larson, Tony Goldwyn	2003.0	The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America
218	96	425263908	Sylvia Day	2012.0	Bared to You
